Date,Price
2019-11-30,936.1376
2019-12-02,991.4844
2019-11-19,933.6027
2019-12-18,953.3908
2019-10-22,996.3646
2019-10-14,947.4529
2019-12-03,939.7988
2019-10-24,999.261
2019-11-19,900.9384
2019-11-18,938.4518
2019-10-28,989.88
2019-12-24,941.0041
2019-11-02,901.89
2019-12-18,969.1999
2019-11-11,993.8975
2019-11-27,944.3342
2019-12-05,968.0067
2019-11-09,950.8477
2019-11-26,929.5991
2019-11-20,974.6021
2019-12-22,913.4824
2019-12-20,956.3507
2019-12-08,915.6935
2019-11-12,955.1368
2019-12-29,904.3605
2019-10-21,960.1699
2019-12-19,900.926
2019-11-16,989.8367
2019-12-23,927.4016
2019-12-23,983.2943
2019-11-05,950.1581
2019-11-03,990.6616
2019-11-30,989.5077
2019-12-17,974.809
2019-10-15,946.4282
2019-12-07,966.1123
2019-10-20,913.4324
2019-10-08,957.5516
2019-11-06,958.2278
2019-11-13,975.245
2019-12-25,919.0983
2019-10-24,979.3073
2019-12-24,938.963
2019-12-17,933.0296
2019-10-23,948.3044
2019-11-06,937.9584
2019-12-24,969.3018
2019-10-08,943.6946
2019-12-02,913.4718
2019-10-16,971.6482
