Date,Price
2019-08-01,958.05025
2019-08-04,954.2056666666667
2019-08-07,936.0997500000001
2019-08-08,956.5658
2019-08-11,971.7911
2019-08-12,944.8417666666668
2019-08-13,958.158925
2019-08-14,967.24235
2019-08-15,960.12115
2019-08-16,973.7401333333333
2019-08-17,986.1552
2019-08-18,957.43385
2019-08-19,956.22885
2019-08-20,968.3099
2019-08-21,938.4504750000001
2019-08-22,943.88215
2019-08-23,975.3609
2019-08-24,933.9727
2019-08-25,947.5504333333333
2019-08-28,915.3643
2019-08-29,912.9910666666668
